epoch,recon_loss,sparse_loss,total_loss
1,0.004241769835706564,0.00015374678814968998,0.004395516598125613
2,0.003992886421023102,0.00022559830318365313,0.004218484723020958
3,0.003515207441523671,0.0005187215765430135,0.004033928990505541
4,0.003242006772964061,0.000646818149740468,0.0038888249133678175
5,0.0031920999135303346,0.0007418475697589581,0.003933947474424598
6,0.003328449959289047,0.0007611624997606887,0.004089612475466691
7,0.003061412606694842,0.0007353577547280422,0.00379677036411683
8,0.002980648790474368,0.0008467662296252572,0.0038274150176704686
9,0.0030066939306598677,0.0009410230565974209,0.003947716987326364
10,0.003031066250456851,0.0007882033830091005,0.003819269646855095
11,0.0030234951166365344,0.0009866062737734255,0.004010101373578551
12,0.0031728652170328778,0.0009014660967571942,0.004074331302242943
13,0.003055828237387387,0.0008552647982987419,0.003911093054221401
14,0.0031099689069286553,0.000914909278159214,0.004024878206155911
15,0.0030370952467186543,0.0008090635013484391,0.003846158759809936
16,0.002902730288502725,0.0010428513288400299,0.003945581614971161
17,0.003029047428995748,0.0009354603591211482,0.003964507793182436
18,0.0029940741561070273,0.0009464312412736818,0.0039405053941226455
19,0.002916520956573607,0.0010947698433886252,0.004011290816920279
20,0.0029450253748535354,0.0009739356874324355,0.003918961064795716
21,0.0029234821359992403,0.0009672913518074835,0.0038907734789190036
22,0.0028274657552519555,0.001076691083388924,0.003904156846619105
23,0.0029016401695346906,0.0010062302417857528,0.0039078704099159076
24,0.0028772686425407854,0.0009835158875197336,0.0038607845442440313
25,0.002852510814142378,0.0010272448778524922,0.003879755694136212
26,0.0028702055540265918,0.0010966240802132879,0.003966829615727633
27,0.002864471294834644,0.0010020582139296044,0.0038665295254344803
28,0.002940758844672502,0.0010508863425583732,0.003991645192020113
29,0.002930262694842642,0.0009408685384440542,0.0038711312344840054
30,0.0028178144210973116,0.0011380352748519612,0.00395584967918694
