encoder,sigma_rf,osi_mean,osi_std
Baseline,0.04902399,0.09151689490389879,0.05565942548313313
Random,0.041960318,0.12284403993466239,0.07293420934278305
Linear,0.071562625,0.16545461529215902,0.11497551585794584
Poisson,0.045364432,0.08434480279050852,0.04484382020006722
Dynamic_Dissipative,0.06436109,0.16637436123519667,0.10056352567013754
Dynamic_Critical,0.040861126,0.09685838170047142,0.05627680865650155
Dynamic_Transition,0.28251305,0.34234932527823175,0.1807552152950572
Dynamic_Expansive,0.041228637,0.08714271777583199,0.04315137499021624
