delta,x_var,y_var,z_var,x_var_std,y_var_std,z_var_std,total_var,x_ratio,y_ratio,z_ratio,eff_dim,xy_corr,xz_corr,yz_corr,x_entropy,y_entropy,z_entropy
-1.5,3.0880291554462884,17.724931569714315,1672.2074379675062,1.1354514640846243,7.981393975758824,675.6177478358351,1693.0203986926667,0.001823976343008527,0.01046941406222945,0.9877066095947621,1.0249290603431134,0.2049290712403327,0.4880715383464916,0.7227953954669333,0.8190120770534208,1.0590629540060794,0.5161722617947639
-1.0,0.9334995361122824,2.7475843296230464,23.812964841021376,0.3723503452866819,0.9949133551774472,9.669493647212054,27.494048706756704,0.03395278542162739,0.0999337841773672,0.8661134304010054,1.3135563808617345,0.3689275656908339,0.31608545043047775,0.8630989573097538,0.9711008670539593,0.8585833018297511,0.3138393093741096
-0.6,0.32240086673503643,0.9168294154307426,0.43578466386885895,0.12272591166264286,0.34043270893663985,0.17728875237772412,1.675014946034638,0.19247641192592047,0.5473559609728899,0.2601676271011896,2.4732095061380925,0.30201320630160816,0.08078819757158422,0.6596338469228309,0.9952735975279795,0.7871593595242188,0.8045320684598319
-0.3,0.1566583000930889,0.4113733829076883,0.02981706237421795,0.05875359656244453,0.15354323871884923,0.010812329977149501,0.5978487453749952,0.26203667951971094,0.6880893973435673,0.04987392313672159,1.836150559961459,0.15533700162371883,0.2992301743910221,0.7703167240118335,0.9708404728309973,0.8253544943095034,0.9586837001657197
-0.15,0.1141865951697777,0.28290970956338024,0.0442471201735615,0.042683904725995855,0.10572423673411994,0.016092783599701222,0.4413434249067194,0.2587250397893924,0.6410194274972487,0.10025553271335898,2.0496182889500605,0.06804192922727301,0.10586883786292427,0.9877189946970969,0.9515139112510406,0.8630235790346887,0.919196124835082
0.0,0.0863290889851119,0.1988850674442933,0.0554929113579621,0.0322112428101753,0.07438109935318729,0.020445175049637568,0.34070706778736726,0.2533821489109502,0.5837421240947546,0.16287572699429534,2.317572923623531,0.021461383195629825,0.0838229517524083,0.9967099620453876,0.9296397938916853,0.9059191853474802,0.8790715803270182
0.15,0.06785005044387743,0.1430559869373767,0.05781800588213512,0.0252913603179524,0.05352819488602436,0.021433230870101988,0.2687240432633893,0.2524896902409821,0.532352763080305,0.2151575466787128,2.54166243546256,0.10812656248538507,0.25351278334660937,0.9774865312606544,0.9064579819503632,0.9497393427512304,0.8464311489937729
0.3,0.05539491992445566,0.10526216588106439,0.054568405017731726,0.02063806917478392,0.03940033954481428,0.020287263600173674,0.21522549082325176,0.25738085071878064,0.48907852633268317,0.25354062294853624,2.704708904292482,0.18780769369621178,0.40531674131089784,0.9512590261252234,0.8829483758966468,0.9915061270045821,0.8184285859738659
0.6,0.040764870954991074,0.06076811653820648,0.04285786178285428,0.015181421256567877,0.02275768155461871,0.015967869942182373,0.14439084927605184,0.28232309152123114,0.4208585020649593,0.2968184064138096,2.899144224397149,0.3168762345448541,0.6497291617812796,0.8874213657772752,0.8377473146455753,1.0628433483889321,0.7616981872662357
1.0,0.031241275262394903,0.03281674020611461,0.02923048653324761,0.011633587548504111,0.012297864013661359,0.01089860220074087,0.09328850200175712,0.33488880828857626,0.35177690178256366,0.3133342899288601,2.9933319359328894,0.42452917905526527,0.8532194055237299,0.7818165682433555,0.7858221547672459,1.1295742199494447,0.6781440657585276
1.5,0.025133454010648575,0.017605409041429262,0.01901595205808092,0.009360318831732824,0.006603456783371964,0.007092634995569601,0.06175481511015876,0.40698776226299616,0.28508560846671765,0.30792662927028613,2.9262726900813014,0.4854248373637567,0.9644579486746152,0.625337311088477,0.7367526060925778,1.1779506961048547,0.6544301947016765
2.0,0.021301538770053523,0.010658224728876143,0.013524534159508349,0.007935443693929973,0.004001390934717753,0.005045860640817183,0.04548429765843801,0.4683273100096286,0.2343275652822768,0.29734512470809465,2.7574492465640557,0.5011619207703841,0.9880556819565909,0.45652270167798575,0.7020488269903927,1.2034348756790285,0.7747705862143327
2.5,0.01845140180038322,0.007047080488867887,0.0104236082262031,0.006876237094733903,0.002647896226593466,0.0038898294608217658,0.03592209051545421,0.5136505569586813,0.19617679226759172,0.29017265077372684,2.58717220789103,0.4935835408519661,0.9695404114607968,0.28860363965821784,0.6769066604423156,1.2167430862724262,0.9139404601833784
3.0,0.016170942202317417,0.004980368926048995,0.008556464947677618,0.006028901001221841,0.0018726439107023456,0.0031935537435533795,0.02970777607604403,0.5443336505877818,0.16764529641332193,0.2880210529988962,2.45482992924403,0.47327325249290214,0.9318451502492743,0.12996405817262985,0.6577873198331257,1.2231659711734733,1.0029161416692418
4.0,0.012707959333642606,0.0028801985602064394,0.006567976518851672,0.004741980427304427,0.0010839024525525912,0.0024516641528214513,0.02215613441270072,0.5735639212568566,0.12999553561813576,0.2964405431250076,2.305468027662382,0.4140940924532267,0.8397718024750852,0.14447768782595696,0.6300189133749267,1.2240378255818911,1.063238693995057
5.0,0.010224105469199229,0.0019167980442596417,0.005615005271375556,0.0038184049645800435,0.0007214998190520363,0.0020958574879927487,0.017755908784834427,0.5758142595287368,0.10795268591922515,0.316233054552038,2.2562200048508623,0.345991388189863,0.7519579381705567,0.35772111194918893,0.6103840541860104,1.214564824523367,1.0607926186589558
7.0,0.006994936099436691,0.0011086671353566565,0.004805090309652624,0.0026164211710550905,0.0004169970485780576,0.001793178969776133,0.012908693544445972,0.5418779271002445,0.08588530911663528,0.37223676378312026,2.2749599260909554,0.2157490665896201,0.6167036908101505,0.6355088364716327,0.584356015027919,1.1767235528056308,1.0244166155712537
10.0,0.00438798400051189,0.0007015696615601202,0.004447917721435135,0.0016442946847342668,0.00026339324905699703,0.0016594661706490958,0.009537471383507145,0.4600783398522061,0.07355929400462716,0.4663623661431668,2.301088687150254,0.06789313427939282,0.4946712480198366,0.833455659400706,0.5621315398999371,1.104369227726849,0.9802522300151604
