condition,delta,final_train_loss,fresh_trainsplit_mse_mean,fresh_trainsplit_mse_std,heldout_testsplit_mse_mean,heldout_testsplit_mse_std,gen_gap_diff,gen_gap_ratio
Baseline,,0.002280238441109,0.0024870063221896998,1.130180050111185e-05,0.0024952965410193428,1.1259114846516417e-05,8.290218829642981e-06,1.003333412848884
Random,,0.0025389524076511,0.0026161642803344876,1.3887920754389223e-05,0.0026278468314558266,1.762185390477167e-05,1.1682551121338942e-05,1.0044655265761235
Linear,,0.0021386596527469,0.0023125620864448138,1.792584436758014e-05,0.0023282124879187905,2.8505419811335982e-05,1.565040147397676e-05,1.0067675594811971
Poisson,,0.0038852097372276,0.003894184708769899,5.202866804668573e-06,0.003894857822160702,1.9655782354432886e-06,6.731133908033371e-07,1.0001728509151833
Dynamic_Expansive,-1.5,0.0013165158761924,0.0015659734111977742,1.0939810575793528e-05,0.0015740463270049077,1.64025195048747e-05,8.072915807133497e-06,1.005155206180007
Dynamic_Critical,0.0,0.0028178144210973,0.0029803886704030448,0.0001511451919817111,0.002899794658878818,8.351547550102179e-05,-8.059401152422669e-05,0.972958556605529
Dynamic_Transition,2.0,0.0028454435110988,0.0028349300046102144,9.5528520028864e-05,0.002762634500686545,4.737183112310806e-05,-7.229550392366928e-05,0.9744983107850631
Dynamic_Dissipative,10.0,0.002972787193058,0.0030545906905899757,0.0001491476797251671,0.0029617796040838583,6.649283682321746e-05,-9.281108650611731e-05,0.9696158680794672
