epoch,recon_loss,sparse_loss,total_loss
1,0.7145804996731915,0.20057512367073493,0.9151556212690812
2,0.23234061934525455,0.20269389375101163,0.43503451422799994
3,0.12957503137331974,0.20491171015214316,0.334486740299418
4,0.07586028653232357,0.2047227338145051,0.2805830202525175
5,0.04683816904508615,0.20420493921147118,0.2510431061817121
6,0.029341646057518222,0.20247880265682558,0.23182044828994364
7,0.018539809940170637,0.20210440343693842,0.22064421354215355
8,0.011701493783370603,0.19984316599519947,0.2115446600732924
9,0.0076932435902425005,0.19849622042118747,0.20618946378744102
10,0.005187647405398797,0.1955915649857702,0.20077921242653568
11,0.0037445399462233617,0.1953840459449382,0.19912858646881731
12,0.002729870720849007,0.194122858628442,0.1968527285358574
13,0.0021157859857017292,0.1934607430726667,0.19557652971412562
14,0.0017073146948779496,0.19159507468531403,0.1933023882440374
15,0.0014924618262278882,0.19140578976160363,0.1928982519650761
16,0.0013614772565521394,0.19067352123652834,0.1920349986492833
17,0.0013056007314096146,0.19140934359423722,0.19271494485909427
18,0.0012637168549213416,0.19029572228842143,0.19155943921849697
19,0.0012392297835101054,0.18906373973888688,0.19030296991143045
20,0.0012292319678854715,0.18829871412319474,0.18952794599382183
21,0.0012428785535754472,0.18698962542075145,0.18823250335983083
22,0.0012615433499169877,0.18813353286513798,0.18939507573465758
23,0.001251598148123373,0.18749768522721302,0.18874928298630292
24,0.0012595753562695618,0.1879895203098466,0.1892490966033332
25,0.0012575750684224163,0.18827507314802724,0.18953264872484568
26,0.0012947420686884206,0.19093404163288163,0.19222878410091884
27,0.0012995424662728475,0.19022433346585382,0.19152387618264066
28,0.0012935159530467059,0.1902104265327695,0.19150394239003146
29,0.0012894231882064214,0.1899522256247605,0.19124164950998523
30,0.001316515876192458,0.18987203002730502,0.1911885459211808
