epoch,recon_loss,sparse_loss,total_loss
1,0.00416618666045745,0.00011403530537837135,0.004280221940289381
2,0.004088118439540267,0.00015900044637200602,0.004247118839758295
3,0.003783414090240869,0.00020535626353642938,0.0039887703495406655
4,0.003504073925174867,0.00046742113967342493,0.0039714950673234994
5,0.0032963503116765352,0.00043698082171880444,0.0037333311224238405
6,0.003199346711316818,0.0005423630427800692,0.0037417097571246986
7,0.0031718598454719103,0.000459540651154154,0.0036314004837665
8,0.0031322416601867616,0.0005902640548557901,0.0037225056940666107
9,0.003150938090549994,0.000551016126107093,0.0037019542223903574
10,0.003072195347469253,0.0005979900274205993,0.0036701853770196814
11,0.003008348274905282,0.0006117422467871654,0.0036200905259981563
12,0.0030093846689390985,0.0006491359372606134,0.0036585206148226426
13,0.003029834700135302,0.0006715412490836881,0.003701375947699328
14,0.0029847491473619695,0.00068127597357569,0.0036660251266594176
15,0.0030513337601117694,0.0006072611820947045,0.0036585949320063183
16,0.0030043190079918013,0.0007022906079040281,0.00370660962100742
17,0.003094497231082826,0.000772442405394929,0.0038669396227202085
18,0.0031409013450522964,0.0005706400936128663,0.0037115414367540726
19,0.003001886160596262,0.0006703050932766835,0.0036721912631175564
20,0.003024292275710385,0.0006587161435416856,0.003683008424513325
21,0.0030369467125568963,0.0007168154295385061,0.0037537621587656342
22,0.0030272744884832373,0.0006305936130726727,0.0036578681084174143
23,0.0029763529265794575,0.0006859115524842114,0.0036622644903114704
24,0.0029754429920046013,0.0006917832875566276,0.003667226273425018
25,0.002945648438497623,0.000844139406938125,0.0037897878615303507
26,0.0030283136381708746,0.0007025996443258873,0.0037309132793423116
27,0.0030209608228664985,0.0007586901872256724,0.0037796510018031056
28,0.0029785552185877594,0.0007619350876493742,0.003740490299260503
29,0.0030249180183804865,0.0007424656479445189,0.003767383676847514
30,0.002972787193058035,0.0007149611982513997,0.0036877483995985004
