epoch,recon_loss,sparse_loss,total_loss
1,0.004763124142242949,0.0002555750658953175,0.005018699180358384
2,0.003919834757365192,5.099139735084233e-06,0.0039249338663501455
3,0.003916181058068818,3.7084652566464466e-06,0.003919889490249791
4,0.003915503677098623,4.172023400775588e-06,0.003919675654460547
5,0.003912239267691215,2.7813489453629828e-06,0.003915020591826944
6,0.003917417718875635,6.644333598735931e-06,0.003924062018742478
7,0.003917901953564415,7.1078917428650714e-06,0.003925009804506657
8,0.003914539575506049,6.026256057880289e-06,0.003920565801377915
9,0.003912447751322879,4.944620361382914e-06,0.0039173923432827
10,0.003911776306060485,8.035007985072988e-06,0.003919811276836863
11,0.003911826173079353,1.6379054924775255e-05,0.003928205192890726
12,0.003912097008167943,3.3839745488484934e-05,0.00394593673180553
13,0.003910579303090897,3.214003211298082e-05,0.003942719330610354
14,0.003911411050777835,1.1125395758426748e-05,0.003922536421001334
15,0.003910094481904673,1.946944262905347e-05,0.003929563901163166
16,0.003907995065674186,2.5032140416166115e-05,0.003933027195095827
17,0.0039037440968323735,3.615753623215582e-05,0.0039399016230025246
18,0.003906830216911209,6.196227385069367e-05,0.003968792501837015
19,0.003899987571860982,3.600301697358041e-05,0.003935990566269884
20,0.003902082057386825,2.9976760777549027e-05,0.003932058793504404
21,0.003893489457218896,5.5008901619681014e-05,0.003948498340441456
22,0.0038956146292341283,5.1454955391358154e-05,0.003947069556039723
23,0.003899388731445504,5.856284689245881e-05,0.0039579515592961375
24,0.003888971461101046,7.231507257943755e-05,0.003961286539966359
25,0.0038872069555417267,7.061535945721044e-05,0.003957822314711122
26,0.003885766128785437,7.679613511904387e-05,0.0039625622426407246
27,0.003891650386909141,5.469986266505174e-05,0.003946350236081436
28,0.003888303982801264,6.814304905202346e-05,0.003956447040096302
29,0.0038836681507999384,6.798852957470882e-05,0.003951656673386504
30,0.0038852097372276875,6.458910328420424e-05,0.003949798841052983
