epoch,recon_loss,sparse_loss,total_loss
1,0.003906249988211107,0.0,0.003906249988211107
2,0.00390624997347499,0.0,0.00390624997347499
3,0.0039062499793694368,0.0,0.0039062499793694368
4,0.003926011306363382,2.4877621295741802e-05,0.003950888930548784
5,0.003858211441437089,0.00012485166463435074,0.003983063098703382
6,0.0035839441226488806,0.00028354307258130667,0.0038674872050274024
7,0.0033959495080517063,0.0003892343297535907,0.003785183827121612
8,0.00331012569544719,0.0005652319101799653,0.0038753575910637273
9,0.0033962893170080607,0.0006669056634633261,0.004063194968348629
10,0.0033235260538898312,0.000667060187891055,0.0039905862369916485
11,0.003175196143550963,0.000590264056743855,0.003765460189219706
12,0.0030786926781499312,0.000667060187891055,0.003745752870093418
13,0.0030681084534978564,0.0007797048191248537,0.0038478132720470805
14,0.003029028442983009,0.0006743225982708155,0.003703351044154997
15,0.002979927643237612,0.00075390008392396,0.0037338277266089673
16,0.0030166991880234283,0.0009116643796235771,0.003928363591408994
17,0.0029649784481978114,0.0008904952174137329,0.0038554736654733933
18,0.0029037045992769397,0.0008514018092360466,0.003755106419749275
19,0.0028940893214526057,0.0008089089825733924,0.0037029983116243083
20,0.002941285383805067,0.0009527665267652785,0.003894051917109497
21,0.0029055902150848622,0.0008616000964311636,0.003767190321313241
22,0.002858035826371818,0.0008370315110967774,0.003695067327728943
23,0.0027994459430109473,0.00097671703909477,0.00377616297771942
24,0.002858929619004455,0.0008761249155674095,0.0037350545554787297
25,0.0028262183547632983,0.0009198539050942864,0.003746072269528161
26,0.0028018142668459613,0.0009254165983569508,0.003727230871143409
27,0.0027969679441538792,0.0010151923690293325,0.003812160313459514
28,0.0027849679190924837,0.0009387052663833292,0.003723673204172261
29,0.0027859633010399493,0.0009672913552152104,0.0037532546557486057
30,0.0028454435110988117,0.001069119624372445,0.003914563165081641
