epoch,recon_loss,sparse_loss,total_loss
1,0.004131532253556048,0.00012222483284075896,0.004253757088975628
2,0.003752405445763393,0.0005317012071344247,0.004284106648845386
3,0.0029993377437319934,0.000882460212606135,0.003881797978442304
4,0.0027196112006336827,0.0010807085870706205,0.00380031979359875
5,0.002601756407773193,0.001189953788283835,0.003791710196793834
6,0.002530227609780393,0.0012964176520988157,0.003826645244195869
7,0.002479173310831944,0.001325930851877113,0.0038051041627090564
8,0.00243127796963989,0.0013869660066535012,0.0038182439807142262
9,0.002411916648638965,0.00139577361265834,0.00380769027455981
10,0.0023903051668282926,0.001398709474449765,0.0037890146339099994
11,0.00235724322132389,0.0014497008752313596,0.0038069441024496963
12,0.002332785402577889,0.0015070275683545424,0.0038398129841949367
13,0.002320126854354822,0.0015050188146083605,0.003825145676331241
14,0.0023014320302283085,0.0015351500898552468,0.003836582134819672
15,0.0022639248673391493,0.0015742434999209982,0.003838168365786536
16,0.0022598018168318496,0.0015808878218920171,0.0038406896416710904
17,0.0022494794824455358,0.001595567169163046,0.0038450466663446986
18,0.002235141261539693,0.0016205993133208043,0.003855740568966051
19,0.0022408219431585903,0.0016074651635629184,0.0038482871118791498
20,0.002203124121444512,0.0016728268591451306,0.003875950982063254
21,0.002186294337086191,0.001696931893784034,0.0038832262323438365
22,0.00218822469616521,0.0016881242863055837,0.0038763489986805223
23,0.0021896333583996076,0.0016811709126009595,0.003870804275421402
24,0.0021711970720723083,0.0016987861187161902,0.003869983205524615
25,0.002175335902013356,0.0016892059187440178,0.0038645418354934908
26,0.0021596561551471298,0.0017252089323098712,0.0038848650859833896
27,0.0021337001787828684,0.001749313956633493,0.0038830141472052547
28,0.0021328446057424706,0.0017519407902690995,0.0038847854107476867
29,0.0021410389800402747,0.0017252089352570946,0.003866247918244593
30,0.002138659652746931,0.0017355617291966005,0.0038742214069949297
