epoch,recon_loss,sparse_loss,total_loss
1,0.004217785016833981,0.00017785181296835328,0.004395636812418322
2,0.003841026992643181,0.0005066690642660767,0.004347696051567416
3,0.0031244760715178673,0.0008883319494514903,0.004012808012127687
4,0.0028311493600235334,0.0010527405767006021,0.0038838899411449703
5,0.002702222762723701,0.0011511694306884951,0.003853392197833031
6,0.002627524181823187,0.0012018517775260666,0.003829375973348565
7,0.0025541424969376266,0.0012687586735686451,0.0038229011859791944
8,0.002510069987347609,0.0012995080294417617,0.003809578032999099
9,0.0024710148307671652,0.001326857963606385,0.003797872796583968
10,0.0024699869276837835,0.0013407647073316047,0.003810751652698728
11,0.0024290511066306242,0.0013929922590503775,0.0038220433789435066
12,0.0024206408099094524,0.001420342192478195,0.0038409830112293175
13,0.002403453490520014,0.0014112255509494793,0.003814679028206988
14,0.0023906438145786524,0.0014316221003573906,0.0038222659119888196
15,0.0023735822384729037,0.001446764997230206,0.0038203472519128382
16,0.0023820049577404426,0.0014507825047225702,0.0038327874550949546
17,0.00235763528749724,0.0014691703151204164,0.0038268056232482195
18,0.0023353346697160904,0.0014966747655733666,0.0038320094470783504
19,0.0023401437586621394,0.0014887942779290525,0.003828938054274532
20,0.0023272286605419993,0.00150934535615099,0.0038365740152193776
21,0.002319673170583158,0.0015079546763997855,0.0038276278425621083
22,0.0022990374083194554,0.0015298964314257042,0.0038289338515340525
23,0.002298951738431484,0.0015342229744419456,0.003833174723188711
24,0.0023164606794620615,0.0015065640077006684,0.003823024692320371
25,0.0023005345181998193,0.0015566282849640975,0.003857162807584752
26,0.0022976117332383426,0.0015366952881051958,0.003834307008081033
27,0.0022978059198895963,0.0015462754880773682,0.003844081433018363
28,0.0023028244517885052,0.001548747799530201,0.003851572240266619
29,0.0022671303381742555,0.001566672044853338,0.0038338023874484287
30,0.0022802384411090915,0.0015764067647978663,0.0038566452044333462
